scene_id,Noise,Sharpness,Details,Dynamic Range,Exposure,Contrast,Banding,White Balance,Saturation,Ghost
034,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
047,Motorola = Monalisa,Motorola = Monalisa,Motorola => Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
056,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
061,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
065,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
082,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
084,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola < Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
086,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
091,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
098,Motorola = Monalisa,Motorola = Monalisa,Motorola => Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
102,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
111,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
126,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
142,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa,Motorola = Monalisa
